group,Member,Casual
0,2178.319822946776,1827.292608036671
1,886.0581826613115,863.378719958254
2,598.3553403070196,487.97352809561744
3,280.6006323828018,371.00371320493446
4,645.6972027692277,689.8260385264464
5,2121.7500185624785,716.6989598514926
6,6783.679848857317,1576.6796304475429
7,14225.674524335047,3069.672734449661
8,19053.20127995973,5848.222219955131
9,16501.259463784216,6792.731205008715
10,16064.09926377374,9422.6543134136
11,19111.198377501834,13132.621366509877
12,23414.974889323148,17127.593931804615
13,24860.111009054453,18574.009089757397
14,25850.365265907374,20848.08536370204
15,28200.04086117228,21148.52209281597
16,32967.027975429344,20844.674331816554
17,37441.182678654855,20467.911086937158
18,28044.588601741183,14247.95675021856
19,17080.542183331134,8918.846688631851
20,10026.423489591172,5221.227116372827
21,6904.6056249687845,3554.326316324412
22,5465.191717843722,3796.6008111107612
23,3700.360638666687,2968.4003321500927
