group,value
0.0,186.27868808609992
1.0,97.49459193766782
2.0,63.73032880673197
3.0,48.95971459113514
4.0,97.93115643465752
5.0,206.4998624445459
6.0,659.5953588987677
7.0,1456.8185980953995
8.0,1934.8396762575717
9.0,1651.9779459851338
10.0,1487.6760920121699
11.0,2158.8742501286506
12.0,2744.8959477426397
13.0,3044.255096383492
14.0,3361.721902912309
15.0,4055.672793654997
16.0,4385.410969206227
17.0,5105.475566669752
18.0,3339.14675085637
19.0,1953.389283091999
20.0,1130.869003849251
21.0,818.6884078017306
22.0,794.4535675335619
23.0,417.58422122987594
